Staff	Participant	complete	intensity	length	training
1	1	1	6.2	5	1
1	1	1	5.9	10	1
1	1	0	6	15	1
1	1	0	6.9	20	1
1	2	1	5.4	5	1
1	2	1	6	10	1
1	2	1	5.9	15	1
1	2	1	6.4	20	1
1	3	1	6.3	5	1
1	3	1	5.4	10	1
1	3	1	6.7	15	1
1	3	1	5	20	1
1	4	1	5	5	0
1	4	1	7	10	0
1	4	1	5.2	15	0
1	4	0	6.8	20	0
1	5	0	5.2	5	0
1	5	1	5.8	10	0
1	5	1	5.8	15	0
1	5	1	5.5	20	0
2	1	1	6.2	5	1
2	1	1	6.2	10	1
2	1	0	6.5	15	1
2	1	1	6.9	20	1
2	2	0	6.7	5	1
2	2	0	6.7	10	1
2	2	0	5.9	15	1
2	2	1	6.4	20	1
2	3	1	5.4	5	1
2	3	1	6.6	10	1
2	3	0	6.4	15	1
2	3	1	5.7	20	1
2	4	1	6.1	5	0
2	4	1	5.9	10	0
2	4	1	5.9	15	0
2	4	1	5.8	20	0
2	5	0	5.2	5	0
2	5	0	6.5	10	0
2	5	1	6.5	15	0
2	5	0	6.6	20	0
3	1	0	6.6	5	1
3	1	1	5.8	10	1
3	1	1	6.5	15	1
3	1	1	5.1	20	1
3	2	1	5.5	5	1
3	2	1	5.3	10	1
3	2	1	6.1	15	1
3	2	1	5.2	20	1
3	3	1	6.1	5	1
3	3	0	5.8	10	1
3	3	1	6.3	15	1
3	3	1	6.6	20	1
3	4	1	5.4	5	0
3	4	1	6.7	10	0
3	4	0	7	15	0
3	4	0	5	20	0
3	5	0	6.7	5	0
3	5	0	6.3	10	0
3	5	0	5.4	15	0
3	5	1	5.6	20	0
4	1	1	5.6	5	0
4	1	0	5.9	10	0
4	1	0	5.5	15	0
4	1	0	5.7	20	0
4	2	0	6.1	5	0
4	2	1	5.4	10	0
4	2	0	6.2	15	0
4	2	0	6.5	20	0
4	3	1	7	5	0
4	3	0	7	10	0
4	3	1	7	15	0
4	3	1	6.3	20	0
4	4	1	5.4	5	1
4	4	1	6.9	10	1
4	4	1	6.8	15	1
4	4	1	5.4	20	1
4	5	1	6.2	5	1
4	5	1	6.9	10	1
4	5	1	5.8	15	1
4	5	1	5.1	20	1
5	1	1	5.1	5	0
5	1	0	6.5	10	0
5	1	1	5.5	15	0
5	1	1	6.7	20	0
5	2	1	6.2	5	0
5	2	1	5.5	10	0
5	2	0	7	15	0
5	2	0	6.1	20	0
5	3	1	6.7	5	0
5	3	1	5.5	10	0
5	3	1	6.5	15	0
5	3	0	6.5	20	0
5	4	0	6.8	5	1
5	4	0	5	10	1
5	4	0	7	15	1
5	4	1	6	20	1
5	5	1	7	5	1
5	5	1	5.5	10	1
5	5	1	5.7	15	1
5	5	1	5.6	20	1
6	1	0	5.8	5	0
6	1	1	5.6	10	0
6	1	1	6.1	15	0
6	1	1	6.9	20	0
6	2	1	5.6	5	0
6	2	1	5.9	10	0
6	2	1	5.3	15	0
6	2	0	5.7	20	0
6	3	0	5.8	5	0
6	3	0	7	10	0
6	3	1	5.3	15	0
6	3	0	5.6	20	0
6	4	1	6.3	5	1
6	4	1	5.3	10	1
6	4	1	6.2	15	1
6	4	1	5	20	1
6	5	1	5.8	5	1
6	5	1	6.5	10	1
6	5	1	5.9	15	1
6	5	1	5.2	20	1
